matrix,scope,feature,week4_group,bucket,row_candidate,column_candidate,n_shared_series,share_row_better_rel_naive,mean_rel_naive_delta
family_decomposition_all_models,seasonality,all,combined_monthly,all,transformer | with_mstl,statistical | with_mstl,999,0.4864864864864865,-0.05763814302667353
family_decomposition_all_models,seasonality,all,combined_monthly,all,transformer | with_mstl,statistical | without_mstl,999,0.42742742742742745,0.03474918814434669
family_decomposition_all_models,seasonality,all,combined_monthly,all,transformer | with_mstl,transformer | with_mstl,999,0.5,0.0
family_decomposition_all_models,seasonality,all,combined_monthly,all,transformer | with_mstl,transformer | without_mstl,999,0.5135135135135135,-0.00697993137394204
family_decomposition_all_models,seasonality,all,combined_monthly,all,transformer | without_mstl,mlforecast | with_mstl,999,0.4964964964964965,-0.025650149239007006
family_decomposition_all_models,seasonality,all,combined_monthly,all,transformer | without_mstl,mlforecast | without_mstl,999,0.5015015015015015,-0.08776886862781301
family_decomposition_all_models,seasonality,all,combined_monthly,all,transformer | without_mstl,neuralforecast | with_mstl,999,0.4994994994994995,-0.03557823779414578
family_decomposition_all_models,seasonality,all,combined_monthly,all,transformer | without_mstl,neuralforecast | without_mstl,999,0.5475475475475475,-0.030369223090163253
family_decomposition_all_models,seasonality,all,combined_monthly,all,transformer | without_mstl,statistical | with_mstl,999,0.4754754754754755,-0.05065821165273149
family_decomposition_all_models,seasonality,all,combined_monthly,all,transformer | without_mstl,statistical | without_mstl,999,0.4004004004004004,0.04172911951828873
family_decomposition_all_models,seasonality,all,combined_monthly,all,transformer | without_mstl,transformer | with_mstl,999,0.4864864864864865,0.00697993137394204
family_decomposition_all_models,seasonality,all,combined_monthly,all,transformer | without_mstl,transformer | without_mstl,999,0.5,0.0
family_decomposition_all_models,seasonality,all,combined_quarterly,all,mlforecast | with_mstl,mlforecast | with_mstl,987,0.5,0.0
family_decomposition_all_models,seasonality,all,combined_quarterly,all,mlforecast | with_mstl,mlforecast | without_mstl,987,0.6484295845997974,-0.16911386174391302
family_decomposition_all_models,seasonality,all,combined_quarterly,all,mlforecast | with_mstl,neuralforecast | with_mstl,987,0.5440729483282675,-0.031310284223365015
family_decomposition_all_models,seasonality,all,combined_quarterly,all,mlforecast | with_mstl,neuralforecast | without_mstl,987,0.5673758865248227,-0.006522120504184905
family_decomposition_all_models,seasonality,all,combined_quarterly,all,mlforecast | with_mstl,statistical | with_mstl,987,0.5005065856129686,-0.0935737820054307
family_decomposition_all_models,seasonality,all,combined_quarterly,all,mlforecast | with_mstl,statistical | without_mstl,987,0.48733535967578523,-0.012156270861335316
family_decomposition_all_models,seasonality,all,combined_quarterly,all,mlforecast | with_mstl,transformer | with_mstl,987,0.48936170212765956,0.14820073976950116
family_decomposition_all_models,seasonality,all,combined_quarterly,all,mlforecast | with_mstl,transformer | without_mstl,987,0.5440729483282675,0.046415481546591794
family_decomposition_all_models,seasonality,all,combined_quarterly,all,mlforecast | without_mstl,mlforecast | with_mstl,987,0.3515704154002026,0.16911386174391302
family_decomposition_all_models,seasonality,all,combined_quarterly,all,mlforecast | without_mstl,mlforecast | without_mstl,987,0.5,0.0
family_decomposition_all_models,seasonality,all,combined_quarterly,all,mlforecast | without_mstl,neuralforecast | with_mstl,987,0.44174265450861194,0.13780357752054803
family_decomposition_all_models,seasonality,all,combined_quarterly,all,mlforecast | without_mstl,neuralforecast | without_mstl,987,0.49037487335359675,0.16259174123972814
family_decomposition_all_models,seasonality,all,combined_quarterly,all,mlforecast | without_mstl,statistical | with_mstl,987,0.41641337386018235,0.07554007973848233
family_decomposition_all_models,seasonality,all,combined_quarterly,all,mlforecast | without_mstl,statistical | without_mstl,987,0.3890577507598784,0.15695759088257774
family_decomposition_all_models,seasonality,all,combined_quarterly,all,mlforecast | without_mstl,transformer | with_mstl,987,0.40526849037487334,0.3173146015134141
family_decomposition_all_models,seasonality,all,combined_quarterly,all,mlforecast | without_mstl,transformer | without_mstl,987,0.44376899696048633,0.21552934329050483
family_decomposition_all_models,seasonality,all,combined_quarterly,all,neuralforecast | with_mstl,mlforecast | with_mstl,987,0.45592705167173253,0.031310284223365015
family_decomposition_all_models,seasonality,all,combined_quarterly,all,neuralforecast | with_mstl,mlforecast | without_mstl,987,0.5582573454913881,-0.13780357752054803
family_decomposition_all_models,seasonality,all,combined_quarterly,all,neuralforecast | with_mstl,neuralforecast | with_mstl,987,0.5,0.0
family_decomposition_all_models,seasonality,all,combined_quarterly,all,neuralforecast | with_mstl,neuralforecast | without_mstl,987,0.5339412360688957,0.024788163719180113
