feature,feature_label,week4_group,bucket,family,variant,n_series,series_wins,win_share,mean_rel_naive,median_rel_naive,mean_mase,median_mase,mean_mae,median_mae,mean_pocid,median_pocid
arch_stat,ARCH volatility-clustering statistic,combined_quarterly,Low,mlforecast,with_mstl,333,43,0.12912912912912913,1.1221264577490335,0.8835005716676461,1.0469048693282574,0.807233189497287,520.8434290709808,315.3065759903391,0.644828216374269,0.625
arch_stat,ARCH volatility-clustering statistic,combined_quarterly,Low,neuralforecast,with_mstl,333,39,0.11711711711711711,1.1553249607700478,0.9094026197309484,1.045452029659618,0.8547455425556071,563.9229171597932,338.42263426782654,0.6461988304093568,0.625
arch_stat,ARCH volatility-clustering statistic,combined_quarterly,Low,statistical,without_mstl,333,75,0.22522522522522523,1.1695930475399596,0.9763821233446801,1.0627420768185336,0.8337318822230955,556.2806596109104,307.7963580315038,0.5469054580896686,0.625
arch_stat,ARCH volatility-clustering statistic,combined_quarterly,Low,baseline,without_mstl,333,12,0.036036036036036036,1.211786421857856,1.1285878672332648,1.0,1.0,608.4719472088385,376.77874956250014,0.6355994152046783,0.625
arch_stat,ARCH volatility-clustering statistic,combined_quarterly,Low,statistical,with_mstl,333,41,0.12312312312312312,1.2282052063440303,0.8965251113699921,1.1143202632722264,0.8541513967674421,578.734814605534,316.9879102666235,0.6602095516569201,0.625
arch_stat,ARCH volatility-clustering statistic,combined_quarterly,Low,mlforecast,without_mstl,333,33,0.0990990990990991,1.2600633037053774,0.9500170682387459,1.200730983566636,0.8832360954211653,586.9989207947996,376.3563202881816,0.5671600877192983,0.625
arch_stat,ARCH volatility-clustering statistic,combined_quarterly,Medium,transformer,with_mstl,331,20,0.06042296072507553,1.0198113514541982,0.9599260151812959,0.8993548007823633,0.8381878887033714,464.14917111524613,286.53214717785147,0.6189338235294117,0.625
arch_stat,ARCH volatility-clustering statistic,combined_quarterly,Medium,transformer,without_mstl,331,35,0.10574018126888217,1.111510589017565,0.9863867007137059,1.0242323759040384,0.8702448549134705,490.4055196148527,305.64687194824216,0.5772058823529411,0.625
arch_stat,ARCH volatility-clustering statistic,combined_quarterly,Medium,neuralforecast,without_mstl,331,47,0.1419939577039275,1.1798136357866056,0.9462255494259408,1.0582830450174665,0.8955685408861629,530.7474930213017,307.9006804199219,0.5720588235294117,0.625
arch_stat,ARCH volatility-clustering statistic,combined_quarterly,Medium,statistical,without_mstl,331,59,0.1782477341389728,1.1808336722745736,0.9999182392515781,1.0639837849734983,0.8506688680078932,492.9261005474433,297.3766983660871,0.5316176470588235,0.625
arch_stat,ARCH volatility-clustering statistic,combined_quarterly,Medium,mlforecast,with_mstl,331,30,0.09063444108761329,1.2082371959095688,0.9572117641428174,1.0445276017668073,0.8621539320234324,476.7539728712047,287.1746529291812,0.6275735294117647,0.625
arch_stat,ARCH volatility-clustering statistic,combined_quarterly,Medium,neuralforecast,with_mstl,331,48,0.14501510574018128,1.2182396225551932,0.9529864043694861,1.0364041409091702,0.9071724801676111,541.1177694944362,294.6755454326857,0.6270833333333333,0.625
arch_stat,ARCH volatility-clustering statistic,combined_quarterly,Medium,baseline,without_mstl,331,19,0.05740181268882175,1.2482310873032705,1.1086165571159419,1.0,1.0,558.6675427075064,334.4750671386719,0.5992647058823529,0.625
arch_stat,ARCH volatility-clustering statistic,combined_quarterly,Medium,statistical,with_mstl,331,69,0.2084592145015106,1.2681925138003582,0.943677056874622,1.098825335853105,0.8451412368263873,494.7158884901505,283.32472609113773,0.6412990196078432,0.625
arch_stat,ARCH volatility-clustering statistic,combined_quarterly,Medium,mlforecast,without_mstl,331,26,0.07854984894259819,1.3491269508310566,0.9930746598876019,1.1755886986253767,0.91037574722453,518.8463108359113,329.5892671131673,0.5600183823529412,0.625
