family,model,metric,n_series,mean_improvement,median_improvement,with_mstl_better_count,without_mstl_better_count,tie_count,with_mstl_better_share,corr_mean_y,avg_mean_y_when_with_mstl_better,avg_mean_y_when_without_mstl_better,corr_cv_y,avg_cv_y_when_with_mstl_better,avg_cv_y_when_without_mstl_better,corr_slope_over_mean,avg_slope_over_mean_when_with_mstl_better,avg_slope_over_mean_when_without_mstl_better,corr_trend_strength,avg_trend_strength_when_with_mstl_better,avg_trend_strength_when_without_mstl_better,corr_seasonal_strength,avg_seasonal_strength_when_with_mstl_better,avg_seasonal_strength_when_without_mstl_better,corr_lag12_autocorr,avg_lag12_autocorr_when_with_mstl_better,avg_lag12_autocorr_when_without_mstl_better
mlforecast,lr,mase,10,-0.46015702447977647,-0.15263382971347572,4,6,0,0.4,-0.7385101733913624,4883.859742224477,5776.154237365445,0.24313039494952482,0.2945148035871482,0.24758622982190537,0.03343950199506976,0.009159002075110367,0.001088276433525999,-0.39419345419989377,0.7786487804389611,0.9190471122836409,0.46642311261541153,0.40144326082935783,0.38441542625692665,-0.3877765953938926,0.5222247665557519,0.678667771591308
mlforecast,rf,mase,10,0.13314943648988672,-0.03495937711059423,4,6,0,0.4,0.10721445735103427,6128.539828431373,4946.367513227513,-0.35138441017885336,0.24831865229617633,0.27838366401588666,-0.13165813101868415,0.004696463124463984,0.0040633024006235885,-0.1861616046377659,0.7901872925037292,0.9113547709071287,-0.2932867411819601,0.31637708612848214,0.44112620939084385,-0.19142166931838803,0.5607452541190894,0.6529874465490829
mlforecast,xgb,mase,10,0.1536154507033473,0.09502061929423583,7,3,0,0.7,0.07523543508237941,5936.292463537139,4212.772382776865,0.09516335602546437,0.2949182604562184,0.19971625669549883,0.04333751180364358,0.0020151523217472995,0.00968653354978879,-0.3900580339756705,0.8199983348768277,0.9629631504399647,0.17486678281371948,0.367968981275739,0.44549424397627285,-0.43613553330521365,0.5052141102929666,0.8748023079066963
neuralforecast,nbeats,mase,10,-0.07648030831153756,-0.07784533192739163,2,8,0,0.2,-0.29682840611256683,3818.074696545285,5819.526875,-0.08718524104273141,0.20010012672046548,0.28292204247988684,-0.15572420682841767,0.006388125146168331,0.0037986770761576005,-0.39086608558751185,0.8245828262056499,0.8724640178807985,0.403165902804478,0.6117753296510229,0.3360893676946182,-0.3953913439956837,0.5462432089681422,0.6335524097293214
neuralforecast,nhits,mase,10,0.0274489299737862,-0.11091424841788147,4,6,0,0.4,0.139409089465124,6133.836164638269,4942.836622422916,-0.09574291616220806,0.29181623517009636,0.24938527543327335,-0.10401423347679153,0.0015804789002853193,0.006140625216742697,-0.3061558500022864,0.8168091144198504,0.8936068896297146,0.17884881197982436,0.4399306793310628,0.35875714725579,-0.397029828519795,0.462809615189165,0.7182778725023659
neuralforecast,nlinear,mase,10,0.18920024501031124,-0.0024037389930940956,4,6,0,0.4,-0.13774809071778665,5041.974095672752,5670.744668399927,-0.11425456000787709,0.2694723921363721,0.2642811707890895,0.25534914098696937,0.000950675831096031,0.006560493929535557,-0.2956198312381668,0.8123984322496445,0.8965473444098518,0.2618908503224072,0.45343984974846413,0.34975103364418914,-0.3638626487697624,0.45272846175770665,0.7249986414566715
statistical,auto_arima,mase,10,0.11664555977229119,0.01516714508049348,5,5,0,0.5,0.19017612378287804,5738.579428668019,5099.893449950096,-0.29376564538238203,0.2648509351323874,0.26786438352361763,-0.04687532072650422,0.005763292387800765,0.002869840992518728,-0.22423627894731754,0.8076042211301173,0.9181713379614205,-0.1082476927522496,0.373804759203147,0.4086483609686512,-0.33764080655420964,0.4951076091940692,0.7370735299601019
statistical,auto_sarima,mase,10,-0.1340710376118596,-0.1543410512417926,2,8,0,0.2,-0.18007701191781492,4582.924949290061,5628.314311813806,-0.43937053706377505,0.19818010065015662,0.283402048997464,-0.22296895670749153,0.005947660278927628,0.003908793292967777,0.49626521937295553,0.9274027009472937,0.8467590491953877,-0.23308290576867546,0.38539554125584913,0.3926843147934117,0.09503970885121074,0.5629432144629181,0.6293774083556274
transformer,patchtst,mase,10,0.18221062316234113,-0.00968614908625759,5,5,0,0.5,-0.18453994044683156,5191.565532116295,5646.90734650182,-0.12759024518755768,0.21029952356742765,0.3224157950885774,0.34690632237344743,0.010341805155490286,-0.0017086717751707953,-0.24928891242057155,0.899055577583509,0.826719981508029,0.2955606313654434,0.37184099891597283,0.41061212125582547,-0.29249846525283424,0.6938690021036307,0.5383121370505404
mlforecast,lgbm,pocid,10,0.03888888888888889,0.027777777777777762,5,4,1,0.5,-0.20836759602280397,5420.6032623394185,5525.55900310699,0.31905864045783255,0.33123744359868607,0.23550231011587833,-0.27409704215032166,-0.0009183457730154911,0.011473171162491889,-0.5204622396805609,0.7724472627227682,0.9472770038962326,-0.07502443032519779,0.3762631841737878,0.4659185122450402,-0.5384210307094057,0.3834584161190385,0.8375710539359538
mlforecast,lr,pocid,10,-0.03333333333333331,-0.027777777777777762,4,5,1,0.4,-0.2503638701993033,5796.913811697093,5056.2359469075,0.15115638849114682,0.23843811190533687,0.23135430809555474,0.30097115007486636,0.012186828567271582,0.0029219344208812267,-0.19975212008548784,0.8784014978089039,0.8825238382195237,0.345450444834334,0.41395445068298264,0.33980784707819023,-0.3483752914335819,0.6349399277280697,0.7060190344219728
mlforecast,rf,pocid,10,0.05555555555555554,0.02777777777777779,5,1,4,0.5,-0.06476401470929517,4930.970395859494,4987.112068965517,0.3524357598025889,0.2594726271908149,0.06538013482308169,0.0038870349236618668,0.004112080188685296,0.0018647111167073669,-0.5729526243053173,0.8243835077739388,0.9775334662589178,0.08216534764474714,0.40792216218159344,0.1672756310098915,-0.40594553923566595,0.5555493458460781,0.8933293994318475
mlforecast,xgb,pocid,10,0.08888888888888888,0.02777777777777779,5,3,2,0.5,-0.14491500780108085,5151.065379986478,5908.79867080932,0.4551618173353627,0.2885349449868785,0.20082304278054897,0.222526022606866,0.007566733960573518,0.0078862018179725,-0.5345405738946295,0.8217211694340112,0.9466952896347536,0.01482342690189361,0.3554822012553237,0.47005680027879065,-0.3584713724331536,0.5211626661501623,0.8569040509464946
