scope,family,model,n_pairs,mean_rel_naive_delta,median_rel_naive_delta,win_rate_rel_naive,mean_mase_delta,median_mase_delta,win_rate_mase,mean_mae_delta,median_mae_delta,win_rate_mae,mean_pocid_delta,median_pocid_delta,win_rate_pocid
combined_monthly|seasonality_evolution|High,mlforecast,auto_xgb,348,0.0799474940117809,-0.0016628182851831097,0.49712643678160917,0.036218396297169386,-0.0012918891003078081,0.49712643678160917,-7.713497166311989,-0.1772414785679537,0.49712643678160917,0.09642401021711366,0.11111111111111108,0.6149425287356322
combined_monthly|seasonality_evolution|High,neuralforecast,auto_lstm,348,0.0457548487699875,0.03160443009798214,0.5431034482758621,0.022716139218145904,0.022335840958783687,0.5431034482758621,10.008464238280961,3.945947683229713,0.5431034482758621,0.028416347381864625,0.0,0.49137931034482757
combined_monthly|seasonality_evolution|High,neuralforecast,auto_nhits,348,-0.06963995705312412,-0.029521167721137193,0.4454022988505747,-0.02165199278849673,-0.021987825400018632,0.4454022988505747,-12.325924880381445,-3.054518410652033,0.4454022988505747,-0.0006385696040868483,0.0,0.4224137931034483
combined_monthly|seasonality_evolution|High,neuralforecast,auto_nlinear,348,0.0037792846777125653,-0.003941773138132876,0.4942528735632184,0.048616789788706996,-0.0018225961764249954,0.4942528735632184,4.951710967229426,-0.7786838809294494,0.4942528735632184,0.026500638569604086,0.027777777777777735,0.5
combined_monthly|seasonality_evolution|High,statistical,auto_arima,348,-0.01593518055165746,-0.038596660579557934,0.4339080459770115,0.02866567474053398,-0.02296178524594311,0.4339080459770115,-22.513446882471925,-5.902540832498616,0.4339080459770115,0.06768837803320561,0.0,0.49712643678160917
combined_monthly|seasonality_evolution|High,statistical,auto_ets,348,-0.008985245553916619,-0.030754640257895732,0.4454022988505747,0.0337770770091024,-0.023364005306609065,0.4454022988505747,-28.076611516190404,-5.35604370633197,0.4454022988505747,0.07646871008939975,0.0,0.4425287356321839
combined_monthly|seasonality_evolution|High,statistical,auto_sarima,348,-0.21262956324090698,-0.06000467403710598,0.4482758620689655,-0.1212246739919016,-0.04163262253084072,0.4482758620689655,-93.33198536224955,-5.592542660935463,0.4482758620689655,0.0020753512132822474,0.0,0.34195402298850575
combined_monthly|seasonality_evolution|High,transformer,auto_patchtst,348,0.21141803046664215,0.07169720202666607,0.5804597701149425,0.12458799890627216,0.05869730863688746,0.5804597701149425,40.02555115464213,16.526883180166806,0.5804597701149425,0.049648786717752226,0.05555555555555558,0.5632183908045977
combined_monthly|seasonality_evolution|High,transformer,auto_tft,348,-0.10114624063411431,-0.0332148197565717,0.4511494252873563,-0.04433773261827358,-0.01886177347205631,0.4511494252873563,-43.472575519774416,-4.339482947419981,0.4511494252873563,0.002554278416347379,0.0,0.46264367816091956
combined_monthly|seasonality_evolution|Low,mlforecast,auto_lr,334,-0.02556774086052006,-0.030026988220923062,0.47604790419161674,0.12417399609769075,-0.0270199490598636,0.47604790419161674,-48.73451638581748,-7.096716561749538,0.47604790419161674,0.048403193612774446,0.055555555555555525,0.5239520958083832
