week4_group,dataset,frequency,family,variant,model,n_series,rel_naive,median_rel_naive,mase,median_mase,mae,median_mae,pocid,median_pocid
combined_monthly,M3,Monthly,statistical,without_mstl,auto_arima,500,0.9774510156915842,0.9262392581302031,1.0185156714108714,0.8675211839177274,679.2833479108898,504.7039858417298,0.41760922599245953,0.5
combined_monthly,M4,Monthly,statistical,with_mstl,auto_ets,500,0.9782960090551376,0.891167694719721,0.8694866771275575,0.8450468368523533,585.1476758459737,239.27151777138715,0.5878243512974052,0.6111111111111112
combined_monthly,M4,Monthly,transformer,with_mstl,auto_patchtst,500,0.98001286332707,0.9728016454963592,0.8901950391423915,0.8350955868573535,619.9815814996919,246.75842894395177,0.5772898647150143,0.5555555555555556
combined_monthly,M4,Monthly,mlforecast,with_mstl,auto_ridge,500,0.9819624244120599,0.9108362624907401,0.9171260618079293,0.8403842535579992,611.9033585493085,255.8320332049981,0.5831669993346641,0.6111111111111112
combined_monthly,M4,Monthly,mlforecast,with_mstl,auto_lr,500,0.9819656429250835,0.9108214219091024,0.9171287280857953,0.8403823399925188,611.9050295951072,255.8326715817981,0.5831669993346641,0.6111111111111112
combined_monthly,M4,Monthly,transformer,with_mstl,auto_tft,500,0.9824921357995112,0.9143966185434143,0.8886489963715998,0.8459428650641748,599.6573528055644,250.96640840683025,0.5797294300288313,0.6111111111111112
combined_monthly,M3,Monthly,transformer,with_mstl,auto_patchtst,500,0.9831878053889547,0.991066387187652,0.9544062370451051,0.9086850505372548,734.9163837288597,515.7256715362681,0.5653138168108229,0.5555555555555556
combined_monthly,M3,Monthly,neuralforecast,without_mstl,auto_lstm,500,0.9871342464097913,0.8961879093182756,0.9814359040908922,0.8829419003901838,687.4599505416251,493.9374728732639,0.5355954757152362,0.5555555555555556
combined_monthly,M4,Monthly,mlforecast,with_mstl,auto_xgb,500,1.0004505499561571,0.959217157666278,0.9008362637618993,0.8394164753559143,628.6758502272155,261.151707918905,0.5780660900421379,0.5555555555555556
combined_monthly,M4,Monthly,transformer,without_mstl,auto_patchtst,500,1.0033737933893552,1.0009484028419593,1.0837412916447735,0.878914693293202,673.6403825839932,254.5443861219618,0.46362829895764024,0.4444444444444444
combined_monthly,M3,Monthly,neuralforecast,with_mstl,auto_nlinear,500,1.008711118706335,0.9668301549676562,0.9946870235079479,0.922100483234602,763.4071318989793,523.0090946097135,0.565424706143269,0.5555555555555556
combined_monthly,M4,Monthly,statistical,without_mstl,auto_arima,500,1.0120352293604935,0.9978026754419329,1.009771508028788,0.8523019967784536,590.7586182786182,240.70932804332188,0.43047238855622083,0.5
