matrix,scope,feature,week4_group,bucket,row_candidate,column_candidate,n_shared_series,share_row_better_rel_naive,mean_rel_naive_delta
family_only_all_models,feature_bucket_by_seasonality,seasonality_evolution,combined_monthly,High,neuralforecast,neuralforecast,333,0.5,0.0
family_only_all_models,feature_bucket_by_seasonality,seasonality_evolution,combined_monthly,High,neuralforecast,statistical,333,0.4084084084084084,-0.010511066263293152
family_only_all_models,feature_bucket_by_seasonality,seasonality_evolution,combined_monthly,High,neuralforecast,transformer,333,0.5735735735735735,-0.0038643427510613683
family_only_all_models,feature_bucket_by_seasonality,seasonality_evolution,combined_monthly,High,statistical,mlforecast,333,0.6396396396396397,-0.09881889961428622
family_only_all_models,feature_bucket_by_seasonality,seasonality_evolution,combined_monthly,High,statistical,neuralforecast,333,0.5915915915915916,0.010511066263293152
family_only_all_models,feature_bucket_by_seasonality,seasonality_evolution,combined_monthly,High,statistical,statistical,333,0.5,0.0
family_only_all_models,feature_bucket_by_seasonality,seasonality_evolution,combined_monthly,High,statistical,transformer,333,0.5795795795795796,0.006646723512231784
family_only_all_models,feature_bucket_by_seasonality,seasonality_evolution,combined_monthly,High,transformer,mlforecast,333,0.5825825825825826,-0.10546562312651798
family_only_all_models,feature_bucket_by_seasonality,seasonality_evolution,combined_monthly,High,transformer,neuralforecast,333,0.4264264264264264,0.0038643427510613683
family_only_all_models,feature_bucket_by_seasonality,seasonality_evolution,combined_monthly,High,transformer,statistical,333,0.42042042042042044,-0.006646723512231784
family_only_all_models,feature_bucket_by_seasonality,seasonality_evolution,combined_monthly,High,transformer,transformer,333,0.5,0.0
family_only_all_models,feature_bucket_by_seasonality,seasonality_evolution,combined_monthly,Low,mlforecast,mlforecast,334,0.5,0.0
family_only_all_models,feature_bucket_by_seasonality,seasonality_evolution,combined_monthly,Low,mlforecast,neuralforecast,334,0.6047904191616766,-0.023501348993775897
family_only_all_models,feature_bucket_by_seasonality,seasonality_evolution,combined_monthly,Low,mlforecast,statistical,334,0.40119760479041916,0.036518395771781495
family_only_all_models,feature_bucket_by_seasonality,seasonality_evolution,combined_monthly,Low,mlforecast,transformer,334,0.5059880239520959,0.02187049029864584
family_only_all_models,feature_bucket_by_seasonality,seasonality_evolution,combined_monthly,Low,neuralforecast,mlforecast,334,0.39520958083832336,0.023501348993775897
family_only_all_models,feature_bucket_by_seasonality,seasonality_evolution,combined_monthly,Low,neuralforecast,neuralforecast,334,0.5,0.0
family_only_all_models,feature_bucket_by_seasonality,seasonality_evolution,combined_monthly,Low,neuralforecast,statistical,334,0.31736526946107785,0.0600197447655574
family_only_all_models,feature_bucket_by_seasonality,seasonality_evolution,combined_monthly,Low,neuralforecast,transformer,334,0.41317365269461076,0.04537183929242174
family_only_all_models,feature_bucket_by_seasonality,seasonality_evolution,combined_monthly,Low,statistical,mlforecast,334,0.5988023952095808,-0.036518395771781495
family_only_all_models,feature_bucket_by_seasonality,seasonality_evolution,combined_monthly,Low,statistical,neuralforecast,334,0.6826347305389222,-0.0600197447655574
family_only_all_models,feature_bucket_by_seasonality,seasonality_evolution,combined_monthly,Low,statistical,statistical,334,0.5,0.0
family_only_all_models,feature_bucket_by_seasonality,seasonality_evolution,combined_monthly,Low,statistical,transformer,334,0.6137724550898204,-0.014647905473135658
