model_family,model_name,trained_on_bucket,decomposition_method,mean,median,win_rate,n,family,decomp
mlforecast,AutoXGBoost,High,without_stl,-0.11683721133307297,0.10805991942046,0.6088657105606258,16107,ML,Direct
mlforecast,AutoRandomForest,Medium,without_stl,-0.14573960593025237,0.10125387734612257,0.5873915943962642,14990,ML,Direct
neuralforecast,AutoLSTM,Medium,without_stl,-0.0879264615909951,0.09500005257501698,0.5959973315543696,14990,Neural,Direct
mlforecast,AutoRidge,Medium,without_stl,-0.34059242887837377,0.09435590953428807,0.5829886591060707,14990,ML,Direct
mlforecast,AutoLinearRegression,Medium,without_stl,-0.3442349184292726,0.09184854305852191,0.5834556370913943,14990,ML,Direct
neuralforecast,AutoNLinear,Medium,without_stl,-0.09386996875492797,0.08613840654857163,0.594329553035357,14990,Neural,Direct
mlforecast,AutoRidge,High,without_stl,-0.41152230487910246,0.08060436194926457,0.5661513627615322,16107,ML,Direct
neuralforecast,AutoNLinear,Low,without_stl,-0.14547997725307257,0.08059171573823976,0.5808293136257026,22597,Neural,Direct
neuralforecast,AutoNLinear,High,without_stl,-0.10145852278666319,0.07888548658623373,0.5844663810765506,16107,Neural,Direct
neuralforecast,AutoLSTM,Low,without_stl,-0.13656662659975216,0.07634296874691693,0.5776430499623844,22597,Neural,Direct
mlforecast,AutoLinearRegression,High,without_stl,-0.4176688602736038,0.07556099402689276,0.5664617868007699,16107,ML,Direct
mlforecast,AutoRandomForest,High,without_stl,-0.21009192758894987,0.07235145064264414,0.5645992425653442,16107,ML,Direct
neuralforecast,AutoLSTM,High,without_stl,-0.10842462669293837,0.06973130093897795,0.5784441547153412,16107,Neural,Direct
mlforecast,AutoLinearRegression,Low,without_stl,-0.4269792972750543,0.06783126747003587,0.5592777802363146,22597,ML,Direct
mlforecast,AutoRidge,Low,without_stl,-0.43110341722182677,0.06700244512154607,0.5593662875602956,22597,ML,Direct
neuralforecast,AutoNHITS,Medium,stl_seasonal_naive,-0.023004681094278258,0.06615714354545876,0.6122748498999333,14990,Neural,STL-SN
mlforecast,AutoRandomForest,Low,without_stl,-0.2466359502387004,0.06497829182896375,0.5549409213612426,22597,ML,Direct
transformers,AutoTFT,Medium,stl_seasonal_naive,-0.034142952162904826,0.05208091960874506,0.5923949299533022,14990,Transformer,STL-SN
neuralforecast,AutoNHITS,Low,stl_seasonal_naive,-0.049180234050209645,0.04597230422340748,0.5793246891180245,22597,Neural,STL-SN
neuralforecast,AutoNHITS,Medium,stl_model_all_components,-0.04662026212037244,0.04213664112393034,0.5410273515677118,14990,Neural,STL-AC
neuralforecast,AutoNHITS,High,stl_seasonal_naive,-0.02993389898833405,0.04145943242314576,0.5861426708884336,16107,Neural,STL-SN
neuralforecast,AutoNHITS,Low,stl_model_all_components,-0.0336447746609102,0.04024383981048618,0.5383900517767846,22597,Neural,STL-AC
transformers,AutoTFT,Low,stl_seasonal_naive,-0.051137837718923884,0.03473272490196022,0.5739257423551799,22597,Transformer,STL-SN
transformers,AutoTFT,High,stl_seasonal_naive,-0.06374504319574294,0.02863535665712802,0.565530514683057,16107,Transformer,STL-SN
transformers,AutoTFT,Medium,stl_model_all_components,-0.12728838348163365,0.018960876761294765,0.5181454302868579,14990,Transformer,STL-AC
transformers,AutoTFT,Low,stl_model_all_components,-0.11287585100915759,0.018530872407037102,0.5179006062751693,22597,Transformer,STL-AC
neuralforecast,AutoNHITS,High,stl_model_all_components,-0.09611780538814793,0.012133911735321079,0.5128825976283603,16107,Neural,STL-AC
transformers,AutoTFT,High,stl_model_all_components,-0.14367115366852787,0.00040779274773339313,0.5004656360588564,16107,Transformer,STL-AC
transformers,AutoPatchTST,High,stl_seasonal_naive,0.0016342867456428216,-0.0028810401187956414,0.4900974731483206,16107,Transformer,STL-SN
